Data,Descrição,Valor,Tipo,Categoria,Conta Débito,Conta Crédito
09/07/2025,"09/07/2025 SALDO DO DIA 357,90",357.90,Crédito,,,
10/06/2025,"10/06/2025 SISPAG PIX CONTABILIZE ASSES... 200,00",200.00,Crédito,Transferências PIX,1.1.1.02.002,1.1.1.02.001
10/06/2025,"10/06/2025 SALDO DO DIA 357,70",357.70,Crédito,,,
06/06/2025,"06/06/2025 PIX TRANSF Gisele 06/06 125,00",125.00,Crédito,Transferências PIX,1.1.1.02.002,1.1.1.02.001
06/06/2025,"06/06/2025 SALDO DO DIA 157,70",157.70,Crédito,,,
26/05/2025,"26/05/2025 PIX TRANSF Gustavo25/05 -600,00",-600.00,Débito,Transferências PIX,1.1.1.02.002,1.1.1.02.001
26/05/2025,"26/05/2025 REND PAGO APLIC AUT MAIS 0,48",0.48,Crédito,,,
26/05/2025,"26/05/2025 SALDO DO DIA 32,70",32.70,Crédito,,,
12/05/2025,"12/05/2025 SISPAG PIX CONTABILIZE 200,00",200.00,Crédito,Transferências PIX,1.1.1.02.002,1.1.1.02.001
12/05/2025,"12/05/2025 SALDO DO DIA 632,22",632.22,Crédito,,,
30/04/2025,"30/04/2025 SALDO DO DIA 432,22",432.22,Crédito,,,
30/04/2025,"30/04/2025 SISPAG PIX CONTABILIZE 200,00",200.00,Crédito,Transferências PIX,1.1.1.02.002,1.1.1.02.001
19/03/2025,"19/03/2025 SISPAG PIX CONTABILIZE 200,00",200.00,Crédito,Transferências PIX,1.1.1.02.002,1.1.1.02.001
19/03/2025,"19/03/2025 SALDO DO DIA 232,22",232.22,Crédito,,,
05/03/2025,"05/03/2025 PIX TRANSF GUSTAVO02/03 -2.800,00",-2800.00,Débito,Transferências PIX,1.1.1.02.002,1.1.1.02.001
05/03/2025,"05/03/2025 REND PAGO APLIC AUT MAIS 0,02",0.02,Crédito,,,
05/03/2025,"05/03/2025 SALDO DO DIA 32,22",32.22,Crédito,,,
28/02/2025,"28/02/2025 TED 104.0000CAIXA ECON F 265,76",265.76,Crédito,,,
28/02/2025,"28/02/2025 SALDO DO DIA 2.832,20",2832.20,Crédito,,,
25/02/2025,"25/02/2025 PAGTO RESCISAO CONTRA 1.992,55",1992.55,Crédito,,,
25/02/2025,"25/02/2025 TED 104.0000CAIXA ECON F 526,58",526.58,Crédito,,,
25/02/2025,"25/02/2025 SALDO DO DIA 2.566,44",2566.44,Crédito,,,
24/02/2025,"24/02/2025 PIX TRANSF Gustavo23/02 -1.500,00",-1500.00,Débito,Transferências PIX,1.1.1.02.002,1.1.1.02.001
24/02/2025,"24/02/2025 REND PAGO APLIC AUT MAIS 0,02",0.02,Crédito,,,
24/02/2025,"24/02/2025 SALDO DO DIA 47,31",47.31,Crédito,,,
19/02/2025,"19/02/2025 PAGTO ADIANTAMENTO SA 1.200,00",1200.00,Crédito,,,
19/02/2025,"19/02/2025 SALDO DO DIA 1.547,29",1547.29,Crédito,,,
10/02/2025,"10/02/2025 SISPAG PIX CONTABILIZE ASSES... 200,00",200.00,Crédito,Transferências PIX,1.1.1.02.002,1.1.1.02.001
10/02/2025,"10/02/2025 SALDO DO DIA 347,29",347.29,Crédito,,,
06/02/2025,"06/02/2025 PIX TRANSF Gustavo06/02 -1.500,00",-1500.00,Débito,Transferências PIX,1.1.1.02.002,1.1.1.02.001
06/02/2025,"06/02/2025 REND PAGO APLIC AUT MAIS 0,01",0.01,Crédito,,,
06/02/2025,"06/02/2025 SALDO DO DIA 147,29",147.29,Crédito,,,
05/02/2025,"05/02/2025 PAGTO SALARIO 1.552,01",1552.01,Crédito,,,
05/02/2025,"05/02/2025 SALDO DO DIA 1.647,28",1647.28,Crédito,,,
04/02/2025,"04/02/2025 PIX QRS GIVALDO SOU04/02 -5,00",-5.00,Débito,Transferências PIX,1.1.1.02.002,1.1.1.02.001
04/02/2025,"04/02/2025 SALDO DO DIA 95,27",95.27,Crédito,,,
20/01/2025,"20/01/2025 PIX TRANSF GUSTAVO18/01 -1.300,00",-1300.00,Débito,Transferências PIX,1.1.1.02.002,1.1.1.02.001
20/01/2025,"20/01/2025 REND PAGO APLIC AUT MAIS 0,07",0.07,Crédito,,,
20/01/2025,"20/01/2025 SALDO DO DIA 100,27",100.27,Crédito,,,
17/01/2025,"17/01/2025 PAGTO ADIANTAMENTO SA 1.200,00",1200.00,Crédito,,,
17/01/2025,"17/01/2025 SALDO DO DIA 1.400,20",1400.20,Crédito,,,
16/01/2025,"16/01/2025 PIX TRANSF RAFAEL 16/01 100,00",100.00,Crédito,Transferências PIX,1.1.1.02.002,1.1.1.02.001
16/01/2025,"16/01/2025 SALDO DO DIA 200,20",200.20,Crédito,,,
10/01/2025,"10/01/2025 SISPAG PIX CONTABILIZE 200,00",200.00,Crédito,Transferências PIX,1.1.1.02.002,1.1.1.02.001
10/01/2025,"10/01/2025 PIX TRANSF GUSTAVO10/01 -200,00",-200.00,Débito,Transferências PIX,1.1.1.02.002,1.1.1.02.001
10/01/2025,"10/01/2025 SALDO DO DIA 100,20",100.20,Crédito,,,
07/01/2025,"07/01/2025 PIX TRANSF GUSTAVO07/01 -1.523,00",-1523.00,Débito,Transferências PIX,1.1.1.02.002,1.1.1.02.001
07/01/2025,"07/01/2025 PAGTO SALARIO 1.522,40",1522.40,Crédito,,,
07/01/2025,"07/01/2025 SALDO DO DIA 100,20",100.20,Crédito,,,
31/12/2024,"31/12/2024 SALDO DO DIA 100,80",100.80,Crédito,,,
09/07/2025,"09/07/2025 SALDO DO DIA 357,90",357.90,Crédito,,,
10/06/2025,"10/06/2025 SISPAG PIX CONTABILIZE ASSES... 200,00",200.00,Crédito,Transferências PIX,1.1.1.02.002,1.1.1.02.001
10/06/2025,"10/06/2025 SALDO DO DIA 357,70",357.70,Crédito,,,
06/06/2025,"06/06/2025 PIX TRANSF Gisele 06/06 125,00",125.00,Crédito,Transferências PIX,1.1.1.02.002,1.1.1.02.001
06/06/2025,"06/06/2025 SALDO DO DIA 157,70",157.70,Crédito,,,
26/05/2025,"26/05/2025 PIX TRANSF Gustavo25/05 -600,00",-600.00,Débito,Transferências PIX,1.1.1.02.002,1.1.1.02.001
26/05/2025,"26/05/2025 REND PAGO APLIC AUT MAIS 0,48",0.48,Crédito,,,
26/05/2025,"26/05/2025 SALDO DO DIA 32,70",32.70,Crédito,,,
12/05/2025,"12/05/2025 SISPAG PIX CONTABILIZE 200,00",200.00,Crédito,Transferências PIX,1.1.1.02.002,1.1.1.02.001
12/05/2025,"12/05/2025 SALDO DO DIA 632,22",632.22,Crédito,,,
30/04/2025,"30/04/2025 SALDO DO DIA 432,22",432.22,Crédito,,,
30/04/2025,"30/04/2025 SISPAG PIX CONTABILIZE 200,00",200.00,Crédito,Transferências PIX,1.1.1.02.002,1.1.1.02.001
19/03/2025,"19/03/2025 SISPAG PIX CONTABILIZE 200,00",200.00,Crédito,Transferências PIX,1.1.1.02.002,1.1.1.02.001
19/03/2025,"19/03/2025 SALDO DO DIA 232,22",232.22,Crédito,,,
05/03/2025,"05/03/2025 PIX TRANSF GUSTAVO02/03 -2.800,00",-2800.00,Débito,Transferências PIX,1.1.1.02.002,1.1.1.02.001
05/03/2025,"05/03/2025 REND PAGO APLIC AUT MAIS 0,02",0.02,Crédito,,,
05/03/2025,"05/03/2025 SALDO DO DIA 32,22",32.22,Crédito,,,
28/02/2025,"28/02/2025 TED 104.0000CAIXA ECON F 265,76",265.76,Crédito,,,
28/02/2025,"28/02/2025 SALDO DO DIA 2.832,20",2832.20,Crédito,,,
25/02/2025,"25/02/2025 PAGTO RESCISAO CONTRA 1.992,55",1992.55,Crédito,,,
25/02/2025,"25/02/2025 TED 104.0000CAIXA ECON F 526,58",526.58,Crédito,,,
25/02/2025,"25/02/2025 SALDO DO DIA 2.566,44",2566.44,Crédito,,,
24/02/2025,"24/02/2025 PIX TRANSF Gustavo23/02 -1.500,00",-1500.00,Débito,Transferências PIX,1.1.1.02.002,1.1.1.02.001
24/02/2025,"24/02/2025 REND PAGO APLIC AUT MAIS 0,02",0.02,Crédito,,,
24/02/2025,"24/02/2025 SALDO DO DIA 47,31",47.31,Crédito,,,
19/02/2025,"19/02/2025 PAGTO ADIANTAMENTO SA 1.200,00",1200.00,Crédito,,,
19/02/2025,"19/02/2025 SALDO DO DIA 1.547,29",1547.29,Crédito,,,
10/02/2025,"10/02/2025 SISPAG PIX CONTABILIZE ASSES... 200,00",200.00,Crédito,Transferências PIX,1.1.1.02.002,1.1.1.02.001
10/02/2025,"10/02/2025 SALDO DO DIA 347,29",347.29,Crédito,,,
06/02/2025,"06/02/2025 PIX TRANSF Gustavo06/02 -1.500,00",-1500.00,Débito,Transferências PIX,1.1.1.02.002,1.1.1.02.001
06/02/2025,"06/02/2025 REND PAGO APLIC AUT MAIS 0,01",0.01,Crédito,,,
